block_group,reduced_match_qualify
080350140152,Not Qualifying
080350140161,Not Qualifying
080350140162,Not Qualifying
080350140163,Not Qualifying
080350140171,Not Qualifying
080350140172,Not Qualifying
080350141071,Not Qualifying
080350141072,Not Qualifying
080350141081,Not Qualifying
080350141082,Not Qualifying
080350141083,Not Qualifying
080350141091,Not Qualifying
080350141092,Not Qualifying
080350141101,Qualifying
080350141102,Not Qualifying
080350141103,Not Qualifying
080350141104,Qualifying
080350141121,Not Qualifying
080350141122,Not Qualifying
080350141131,Not Qualifying
080350141132,Not Qualifying
080350141141,Not Qualifying
080350141142,Not Qualifying
080350141151,Not Qualifying
080350141163,Not Qualifying
080350141164,Qualifying
080350141231,Not Qualifying
080350141232,Qualifying
080350141241,Not Qualifying
080350141242,Not Qualifying
080350141243,Not Qualifying
080350141251,Not Qualifying
080350141252,Not Qualifying
080350141253,Not Qualifying
080350141254,Not Qualifying
080350141271,Not Qualifying
080350141272,Not Qualifying
080350141273,Not Qualifying
080350141281,Not Qualifying
080350141282,Not Qualifying
080350141291,Not Qualifying
080350141292,Not Qualifying
080350141301,Not Qualifying
080350141302,Not Qualifying
080350141303,Qualifying
080350141304,Not Qualifying
080350141311,Not Qualifying
080350141312,Not Qualifying
080350141313,Not Qualifying
080350141314,Not Qualifying
080350141321,Not Qualifying
080350141322,Not Qualifying
080350141323,Not Qualifying
080350141331,Not Qualifying
080350141332,Not Qualifying
080350141333,Not Qualifying
080350141341,Not Qualifying
080350141342,Not Qualifying
080350141343,Not Qualifying
080350141351,Not Qualifying
080350141352,Not Qualifying
080350141382,Not Qualifying
080350141391,Not Qualifying
080350141392,Not Qualifying
080350141401,Not Qualifying
080350141402,Not Qualifying
080350141403,Not Qualifying
080350141411,Not Qualifying
080350141412,Not Qualifying
080350141413,Qualifying
080350141421,Not Qualifying
080350141431,Not Qualifying
080350141432,Not Qualifying
080350141441,Not Qualifying
080350141442,Not Qualifying
080350141443,Not Qualifying
080350141452,Qualifying
080350141461,Not Qualifying
080350141462,Not Qualifying
080350141463,Not Qualifying
080350142031,Not Qualifying
080350142032,Not Qualifying
080350142033,Not Qualifying
080350142051,Not Qualifying
080350142052,Not Qualifying
080350142061,Not Qualifying
080350142071,Not Qualifying
080350142081,Not Qualifying
080350143001,Not Qualifying
080350144041,Not Qualifying
080350144042,Not Qualifying
080350144051,Not Qualifying
080350144052,Qualifying
080350144053,Not Qualifying
080350144054,Not Qualifying
080350144071,Qualifying
080350144072,Not Qualifying
080350144081,Not Qualifying
080350144091,Not Qualifying
080350144101,Not Qualifying
080350144102,Not Qualifying
080350144103,Not Qualifying
080350144104,Not Qualifying
080350144105,Not Qualifying
080350144106,Not Qualifying
080350144107,Not Qualifying
080350145031,Not Qualifying
080350145032,Qualifying
080350145033,Not Qualifying
080350145041,Not Qualifying
080350145042,Not Qualifying
080350145043,Not Qualifying
080350145051,Not Qualifying
080350145052,Not Qualifying
080350145053,Not Qualifying
080350145061,Not Qualifying
080350145062,Not Qualifying
080350145063,Not Qualifying
080350146021,Not Qualifying
080350146031,Not Qualifying
080350146032,Not Qualifying
080350146033,Not Qualifying
080350146041,Not Qualifying
080350146042,Not Qualifying
080370001001,Qualifying
080370002001,Qualifying
080370002002,Qualifying
080370002003,Not Qualifying
080370002004,Qualifying
080370002005,Qualifying
080370003011,Not Qualifying
080370003012,Not Qualifying
080370003013,Qualifying
080370003021,Not Qualifying
080370003022,Qualifying
080370004011,Qualifying
080370004012,Not Qualifying
080370004013,Qualifying
080370004021,Qualifying
080370004022,Not Qualifying
080370004041,Qualifying
080370004042,Not Qualifying
080370004051,Not Qualifying
080370004052,Not Qualifying
080370004053,Not Qualifying
080370005011,Not Qualifying
080370005021,Not Qualifying
080370005022,Qualifying
080370005041,Qualifying
080370005042,Qualifying
080370005043,Qualifying
080370005051,Qualifying
080370005052,Qualifying
080370006001,Not Qualifying
080370007011,Not Qualifying
080370007021,Not Qualifying
080370007022,Not Qualifying
080370007031,Not Qualifying
080370007032,Not Qualifying
080370007033,Not Qualifying
080399611001,Not Qualifying
080399611002,Not Qualifying
080399612041,Not Qualifying
080399612042,Not Qualifying
080399612043,Not Qualifying
080399612044,Not Qualifying
080399612051,Not Qualifying
080399612052,Not Qualifying
080399612061,Not Qualifying
080399612062,Not Qualifying
080399612063,Not Qualifying
080399612071,Not Qualifying
080399612072,Not Qualifying
080399612081,Not Qualifying
080399612082,Not Qualifying
080399612091,Not Qualifying
080399612092,Not Qualifying
080410001021,Not Qualifying
080410001022,Not Qualifying
080410001023,Not Qualifying
080410001031,Qualifying
080410001032,Qualifying
080410001041,Qualifying
080410001042,Qualifying
080410001043,Qualifying
080410002022,Not Qualifying
080410002023,Not Qualifying
080410002024,Qualifying
080410002031,Not Qualifying
080410002032,Qualifying
080410003011,Qualifying
080410003022,Qualifying
080410003023,Qualifying
080410010003,Not Qualifying
080410011041,Qualifying
080410011042,Not Qualifying
080410013013,Qualifying
080410013021,Not Qualifying
080410013022,Not Qualifying
080410013024,Qualifying
080410014001,Not Qualifying
080410014002,Qualifying
080410014003,Qualifying
080410015001,Qualifying
080410016002,Qualifying
080410021021,Qualifying
080410021023,Qualifying
080410024011,Qualifying
080410024012,Qualifying
080410024013,Qualifying
080410024021,Qualifying
080410024022,Qualifying
080410025011,Not Qualifying
080410025012,Not Qualifying
080410025013,Not Qualifying
080410025021,Not Qualifying
080410025022,Not Qualifying
080410025023,Qualifying
080410025024,Not Qualifying
080410027002,Qualifying
080410027003,Qualifying
080410028011,Qualifying
080410028012,Qualifying
080410028021,Qualifying
080410028022,Qualifying
080410028023,Qualifying
080410028024,Qualifying
080410029011,Qualifying
080410029012,Qualifying
080410029013,Qualifying
080410029014,Qualifying
080410029021,Qualifying
080410029022,Qualifying
080410030011,Qualifying
080410030012,Qualifying
080410030021,Qualifying
080410030022,Qualifying
080410031001,Not Qualifying
080410031002,Not Qualifying
080410031003,Not Qualifying
080410031004,Not Qualifying
080410031005,Not Qualifying
080410031006,Not Qualifying
080410033031,Qualifying
080410033032,Not Qualifying
080410033033,Qualifying
080410033034,Qualifying
080410033051,Not Qualifying
080410033052,Not Qualifying
080410033053,Not Qualifying
080410033054,Not Qualifying
080410033061,Not Qualifying
080410033062,Not Qualifying
080410033063,Not Qualifying
080410033071,Not Qualifying
080410033072,Not Qualifying
